Region,Region Type,Year,Residential Property Tax,Commercial Property Tax,Seasonal Property Tax,"Forest Property Tax (50,000 acres or more)",Total Commercial Property Revenue,Resource Taxable assessments,"Forest property tax (less than 50,000 acres)",Total Resource Revenue,Recreation property tax,Wind farm payment from Province of NS,Farm property acreage payment from Province of NS,Conservation payment from Province of NS,Total Other Assessable Property Tax Revenue,Bell Aliant - based on revenues,Wind farm taxes from developers,Other special tax agreements or legislation,Total Special Tax Agreement Revenue,Subtotal Assessable Property,"Area rates, uniform charges, and special assessments",Sewer rates/charges,Taxes and rates collected for other Governments/ Agencies,Less: Transmission of taxes and rates collected for other Govs/Agencies,"Total Other Rates, Charges and Assessments",Deed transfer tax,Other Taxes,Total Other Tax Revenue,Appropriations to regional school board,Transfer to correctional services,Deficit of Regional Housing Authority,Total Expenditures as a Reduction of Tax Revenue,NET PROPERTY TAXES AND PAYMENTS IN LIEU OF TAXES,Federal government and federal government agencies Grant in Lieu,PILT payment,Fire protection,Other Grant in Lieu,Total Provincial Government and Agencies Grants in Lieu of Taxes,TOTAL GRANTS IN LIEU OF TAXES,Service Provided to Federal government,Service Provided to Provincial government,Service Provided to Other local governments,TOTAL SERVICES PROVIDED TO OTHER GOVERNMENTS,General government services,Protective services,Transportation services - Transit,Transportation services - Other,Environmental health services,Public health services,Environmental development services,Recreation and cultural services,Wind power,Other services,TOTAL SALES OF SERVICES,Licenses and permits,Fines,Rentals,Concessions and franchises,Return on investments,Penalties and interest on taxes,Miscellaneous,TOTAL OTHER REVENUE FROM OWN SOURCES,Municipal Grants Act - Equalization and Town Foundation,NSPI - Grant in lieu of taxes,NSPI - HST offset,Federal government and federal government agencies Unconditional Transfers,Provincial government and provincial government agencies,Other Unconditional Transfers,TOTAL UNCONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Gas tax revenues,Federal government and federal government agencies Conditional Transfers,Provincial government and provincial agencies,Other local governments Conditional Transfers,TOTAL CONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Net Income from Government Business Enterprises,Water Fund Revenues,Electric Fund Revenues,TOTAL REVENUE,Mayor/Warden Remuneration,Mayor/Warden Wxpenses,Council Remuneration,Council Expenses,Other legislative services,Total Legislative Expenses,General administrative and financial management services,Tax rebates or cancellations (MGA),Transfer for assessment services,Other taxation,Total General Administrative Expenses,Valuation Allowances,General Gov Interest on long-term debt,General Gov Short-term interest and other debt charges,"General gov amortization, gain / loss, writedowns on capital assets",Other general government services,TOTAL GENERAL GOVERNMENT SERVICES,Police protection,Water supply and hydrants,Other fire protection,Total Fire Protection,Protective Services Interest on long-term debt,Protective Services Short-term interest and other debt charges,"Protective Services Amortization, gain / loss, writedowns on capital assets",Other protective services,TOTAL PROTECTIVE SERVICES,Common services,Road transport,Air transport,Water transport,Public transit,Transportation Interest on long-term debt,Transportation Short-term interest and other debt charges,"Transportation Amortization, gain / loss, writedowns on capital assets",Other transportation services,TOTAL TRANSPORTATION SERVICES,Sewage collection and disposal,Garbage and waste collection and disposal,Transfer to the capital reserve for landfill closure/ post-closure costs,Other current expenditures for landfill costs,Total Municipal Landfill Expenses,Environmental Health Interest on long-term debt,Environmental Health Short-term interest and other debt charges,"Environmental Health Amortization, gain / loss, writedowns on capital assets",Other environmental health services,TOTAL ENVIRONMENTAL HEALTH SERVICES,Public Health,Public Health Interest on long-term debt,Public health Short-term interest and other debt charges,"Public Health Amortization, gain / loss, writedowns on capital assets",Other public health services,TOTAL PUBLIC HEALTH SERVICES,Environmental planning and zoning,Community development,Environmental Development Interest on long-term debt,Environmental Development Short-term interest and other debt charges,"Environmental Development Amortization, gain / loss, writedowns on capital assets",Other environmental development services,TOTAL ENVIRONMENTAL DEVELOPMENT SERVICES,Recreation facilities,Cultural buildings and facilities,Transfers to regional library,Other Transfers to Library ,Recreation Interest on long-term debt,Short-term interest and other debt charges,"Recreation Amortization, gain / loss, writedowns on capital assets",Other recreation and cultural services,TOTAL RECREATION AND CULTURAL SERVICES,Extraordinary or special revenue items ,Extraordinary or special expenditure items,Optional (supplementary) education contributions,TOTAL EXTRAORDINARY OR SPECIAL ITEMS,Water fund expenses,Water Fund Interest on long-term debt,"Water Fund Amortization, gain / loss, writedowns on capital assets",TOTAL WATER FUND,Electric fund expenses,Electric Fund Interest on long-term debt,"Electric Fund Amortization, gain / loss, writedowns on capital assets",TOTAL ELECTRIC FUND,TOTAL EXPENSES
HRM,Regional Municipality,2018-19,249874935,225251323,0,0,225251323,1402059,130687,1532746,19823,0,0,0,19823,1935880,0,4830680,6766560,483445387,230711090,3718562,0,0,234429652,46097297,4999488,51096785,-140325518,-6704175,-3129131,-150158824,618813000,28934524,8997057,0,850419,9847476,38782000,0,0,0,0,4826580,7389185,37532942,338987,4833446,0,3175109,46086591,0,2511160,106694000,7573343,6518488,6974440,0,7660000,5128512,26621217,60476000,0,3923523,3456192,0,3578285,0,10958000,26551462,10219211,11021327,0,47792000,12404000,0,0,895919000,180182,12628,1408073,97416,1873006,3571305,69325584,4903931,7110710,0,81340225,3938862,3392413,0,20841656,5610539,118695000,124507900,7074373,76142689,83217062,224584,0,4212459,9916995,222079000,25673294,45949367,0,0,110159256,2630017,0,96576066,0,280988000,0,38766402,0,11951712,11951712,135886,0,2675000,0,53529000,0,0,0,0,0,0,14684432,0,32214,0,61000,17571354,32349000,33911291,2640056,27356000,,1295106,0,16474819,59467728,141145000,0,0,15436000,15436000,0,0,0,0,0,0,0,0,864221000
Region of Queens,Regional Municipality,2018-19,7451179,1452877,0,268,1453145,804150,30872,835022,0,0,11719,0,11719,50715,23756,0,74471,9825536,1522281,538240,38543,-38543,2060521,373953,0,373953,-2831737,-178387,-164307,-3174431,9085579,58412,237546,29088,0,266634,325046,0,0,1961301,1961301,0,14918,0,0,836400,1287346,0,755534,0,7090,2901288,41128,38448,150640,0,99782,155276,0,485274,1217234,785829,75748,0,11157,0,2089968,703427,9958,99174,0,812559,0,734961,0,18395976,38719,2260,136241,14355,6410,197985,926012,74323,314466,70511,1385312,168420,0,0,36978,453626,2242321,2070809,197235,1112563,1309798,0,0,-573,224365,3604399,1227562,879505,7981,0,0,958,0,377090,0,2493096,458830,1792919,295915,691446,987361,31887,0,756742,0,4027739,1287348,0,0,25528,13392,1326268,310560,650629,918,0,61901,0,1024008,1757579,165551,79400,,73447,0,609695,0,2685672,-741942,-1167663,0,-1909605,551386,20257,98600,670243,0,0,0,0,16164141
Amherst,Town,2018-19,6376408,5703109,0,0,5703109,27357,1053,28410,0,0,0,0,0,49751,0,56889,106640,12214567,595524,1044418,0,0,1639942,273962,0,273962,-1600740,-114033,-192793,-1907566,12220905,125005,135059,28486,26078,189623,314628,0,0,188379,188379,0,202425,0,11128,33842,0,0,11977,0,1164326,1423698,41896,46876,195066,9420,116561,89576,306505,805900,1260382,9010,66311,0,0,68880,1404583,710074,2950965,1815250,0,5476289,0,1482637,0,23317019,37430,4559,136420,26878,23658,228945,971423,116871,117012,215763,1421069,5719,0,0,91742,420990,2168465,3802311,0,1003818,1003818,51920,0,255770,135971,5249790,51576,1254622,0,0,0,50794,0,1010316,637356,3004664,662025,572271,0,1023863,1023863,151284,0,629103,132813,3171359,0,0,0,0,0,0,166587,208824,0,0,516,20201,396128,1457223,76359,61820,,65968,0,272418,185860,2119648,0,240681,0,240681,1284406,17830,675291,1977527,0,0,0,0,18328262
Annapolis Royal,Town,2018-19,708738,307044,0,0,307044,3916,0,3916,0,0,0,0,0,5767,0,0,5767,1025465,17137,0,0,0,17137,138644,4802,143445,-123336,-10399,-14293,-148028,1038019,32495,22011,0,0,22011,54506,0,0,0,0,0,0,0,0,46338,0,0,48263,0,5794,100396,3508,13407,8750,0,6102,9616,22420,63804,91956,356509,4546,40233,101750,79211,674205,54342,521838,110000,6940,693120,0,372102,0,2996150,11101,3307,22945,4828,5878,48059,203972,17365,11378,27562,260277,0,0,712,56824,37502,403373,367716,0,73000,73000,0,0,33639,40380,514735,97021,53705,0,0,5000,0,0,119471,-12625,262572,93392,68527,0,0,0,3638,0,78320,0,243877,14293,0,0,0,0,14293,196644,62850,0,0,0,14842,274337,85483,1272,19865,,0,0,46139,0,152759,0,0,123336,123336,254211,2046,50119,306376,0,0,0,0,2295658
Antigonish,Town,2018-19,3307561,1780649,0,0,1780649,8190,0,8190,0,0,283,0,283,32586,0,0,32586,5129269,452673,492177,0,0,944850,285737,197611,483348,-1431597,-79417,-79403,-1590417,4967050,61607,1052880,0,3318,1056198,1117805,0,0,339527,339527,0,36000,0,62349,0,0,0,112711,5217246,0,5428306,6768,52894,10318,0,9028,37884,57374,174266,176706,0,53951,0,11797,2250,244704,325640,0,0,0,325640,0,1349836,11841727,25788861,35480,11741,124418,2439,2184,176262,668937,0,76720,0,745657,0,25775,9883,55506,503503,1516586,1623936,0,173214,173214,26893,0,101527,95667,2021237,930218,438599,0,0,0,39668,0,470004,0,1878489,443775,431223,0,0,0,0,0,168059,0,1043057,0,0,0,0,0,0,401247,2183807,913945,0,1248354,514864,5262217,477254,35343,37190,,33071,0,87359,0,670217,0,0,0,0,501580,62716,334976,899272,10813519,0,228855,11042374,24333449
Berwick,Town,2018-19,1526810,924620,0,0,924620,12048,0,12048,0,0,1376,0,1376,13369,0,0,13369,2478223,524234,458114,0,0,982348,110127,3580,113707,-505812,-28570,-15666,-550048,3024230,6558,0,0,0,0,6558,0,0,172061,172061,0,0,0,0,26000,0,0,137690,2235963,0,2399653,10418,2183,53402,36200,5258,39380,98018,244859,221479,0,42765,0,31186,24400,319830,0,0,0,263673,263673,0,0,5192558,11623422,18943,5203,57483,5607,36322,123558,591431,135767,30691,0,757889,0,57537,15050,175960,101835,1231829,636362,0,209189,209189,36499,0,0,31824,913874,648643,127426,0,0,57759,6796,0,193344,0,1033968,358989,223670,0,0,0,12059,0,213364,834,808916,0,0,0,0,0,0,32187,72064,282205,0,535010,1074409,1995875,412542,0,15767,,0,0,50222,0,478531,0,0,0,0,0,0,0,0,4722651,29537,293570,5045758,11508751
Bridgewater,Town,2018-19,8087792,6553888,0,0,6553888,38418,0,38418,0,0,240,0,240,49509,0,0,49509,14729847,404739,1304274,0,0,1709013,481780,0,481780,-2047747,-120582,-57815,-2226144,14694496,35766,687767,13144,37886,738797,774563,0,0,0,0,38155,55680,61718,69011,0,63083,21555,591555,0,0,900757,57385,71866,76867,0,160651,149081,160879,676729,531657,15212,61111,0,0,0,607980,0,661042,642859,229127,1533028,864909,0,0,20052462,33019,5236,115127,751,24746,178879,935378,86621,122977,199,1145175,-72357,3947,13276,336302,521489,2126711,4262810,791766,504914,1296680,10593,3158,257343,280878,6111462,1004724,815830,0,0,218908,57830,0,1743192,0,3840484,1153201,857047,0,0,0,12285,874,696809,0,2720216,164601,725,0,19983,0,185309,372163,58039,0,0,48552,33332,512086,1922594,233503,50673,,90178,0,641027,187927,3125902,0,0,0,0,0,0,0,0,0,0,0,0,18622170
Clark's Harbour,Town,2018-19,486603,423857,0,0,423857,15953,0,15953,0,0,0,0,0,5066,0,0,5066,931479,0,85978,0,0,85978,12742,0,12742,-116569,-9562,-87749,-213880,816319,29525,2045,0,0,2045,31570,0,0,576,576,0,0,0,0,0,0,0,0,0,0,0,0,880,14225,0,3110,11209,22059,51483,139820,0,2568,0,50000,0,192388,45749,8500,0,0,54249,0,0,0,1146585,17322,0,75424,1607,0,94353,175387,700,12033,0,188120,716,7145,1764,21012,14719,327829,157376,0,41933,41933,0,0,0,17485,216794,57930,36991,0,0,0,0,0,66964,0,161885,109856,173723,0,0,0,0,0,47348,0,330927,0,0,0,0,1259,1259,0,15059,0,0,14643,926,30628,67725,27805,5272,,919,0,32608,0,134329,0,0,0,0,0,0,0,0,0,0,0,0,1203651
Digby,Town,2018-19,1734753,915245,36382,0,951627,10977,0,10977,0,0,0,0,0,14416,0,17731,32147,2729504,309808,289962,0,0,599770,70837,0,70837,-368187,-27014,-58320,-453521,2946590,52738,118848,6739,272647,398234,450972,0,0,178792,178792,730,930,0,0,0,0,2284,0,0,0,3944,4105,16295,15408,231,33164,70947,23397,163547,368558,0,20666,0,5919,0,395143,178972,0,33540,3000,215512,0,628773,0,4983273,23832,3591,67474,10907,0,105804,399109,20009,27386,0,446504,0,128,0,15982,139494,707912,913770,0,183845,183845,329,0,122069,117582,1337595,349125,276236,0,0,4000,8757,0,180426,0,818544,301439,308601,0,0,0,29253,0,184215,0,823508,0,0,0,0,0,0,20852,18385,0,0,4142,95949,139328,312203,45393,12703,,2291,0,100097,0,472687,0,0,0,0,377789,1806,170513,550108,0,0,0,0,4849682
Kentville,Town,2018-19,5696925,1891538,0,0,1891538,41527,85,41612,0,0,542,0,542,42144,0,636163,678307,8308924,118593,849213,579914,-579914,967806,0,0,0,-1502640,-85329,-58041,-1646010,7630720,391644,117824,0,0,117824,509468,0,113649,97668,211317,36445,615326,0,1277,424607,0,0,4348,0,0,1082003,9430,32965,385420,0,604527,72153,269098,1373593,167850,8051,53783,0,0,0,229684,946868,40608,142599,4651,1134726,0,1888801,0,14060312,40070,6899,136600,29849,8617,222035,742645,74954,88899,0,906498,41747,5568,5325,109736,261669,1552578,2502711,0,174612,174612,23508,0,86734,196845,2984410,481012,850356,0,0,242957,83748,661,886639,0,2545373,1230772,674773,0,0,0,8518,0,137504,0,2051567,0,0,0,0,4000,4000,243025,132348,34083,6000,31477,251699,698632,1021905,88107,36948,,26603,2392,324500,121862,1622317,0,727419,0,727419,921644,31694,472626,1425964,0,0,0,0,13612260
Lockeport,Town,2018-19,556873,391509,0,0,391509,14908,0,14908,0,0,0,0,0,5489,0,0,5489,968779,0,14291,0,0,14291,15961,0,15961,-94825,-7609,-12861,-115295,883736,13458,1515,317,0,1832,15290,0,0,17716,17716,0,0,0,0,0,0,0,2333,0,0,2333,1690,1118,5812,0,968,21138,38343,69069,158081,650,2669,0,0,0,161400,41573,95237,28094,0,164904,0,0,0,1314448,15736,981,46950,1221,0,64888,194102,0,10016,0,204118,-9370,10,0,6367,27344,293357,157630,0,36556,36556,124,0,15795,11390,221495,108225,101707,0,0,0,2351,0,77815,0,290098,87494,131929,0,0,0,1365,0,80237,0,301025,5767,0,0,1145,0,6912,0,26715,4215,0,0,50028,80958,129718,17677,4088,,901,0,43980,0,196364,0,0,0,0,0,0,0,0,0,0,0,0,1390209
Lunenburg,Town,2018-19,2978338,1359613,55572,0,1415185,6942,0,6942,0,0,111,0,111,19195,0,0,19195,4419771,0,869982,0,0,869982,223474,0,223474,-806494,-41051,-19307,-866852,4646375,0,228301,5019,0,233320,233320,0,0,0,0,9334,0,0,136507,16354,0,1248,291481,0,0,454924,13882,10833,237209,0,91128,83190,521159,957401,50000,0,25889,0,0,0,75889,208879,157686,579337,9357,955259,0,1507524,6414928,15245620,26417,4378,90117,951,3286,125149,276616,34061,47067,0,357744,0,2583,0,34622,39151,559249,789040,325360,145895,471255,10905,0,119145,60706,1451051,321528,659361,0,0,0,14733,4324,254978,-74003,1180921,774035,231532,0,168049,168049,11414,4109,504036,0,1693175,77013,0,0,0,0,77013,89024,267494,9128,1320,162605,0,529571,555728,47173,14760,,4736,1926,144989,123062,892374,0,0,0,0,979384,21115,293957,1294456,6410853,39192,199412,6649457,14327267
Mahone Bay,Town,2018-19,1409200,615677,626,0,616303,15438,0,15438,0,0,0,0,0,6302,0,0,6302,2047243,206700,0,0,0,206700,169961,0,169961,-400177,-19871,-11449,-431497,1992407,0,595,0,22179,22774,22774,0,0,140112,140112,1572,0,0,0,1362,0,0,1180,248697,36,252847,21394,990,0,0,35453,23848,43665,125350,50022,863,18125,0,0,0,69010,83897,0,21000,0,104897,8099,461607,2466534,5643637,11238,8065,36230,7364,8354,71251,397104,100932,23925,1176,523137,0,139209,3856,245960,23272,1006685,315824,0,101260,101260,0,844,0,33114,451042,112642,128291,0,0,0,34407,2532,354704,0,632576,80240,83402,4774,82897,87671,0,184,65205,0,316702,0,0,0,0,0,0,51152,15783,0,0,0,37446,104381,28042,8459,5769,,0,0,8738,13820,64828,-249741,0,0,-249741,398964,29833,118401,547198,2209228,0,35274,2244502,5118173
Middleton,Town,2018-19,1644894,617788,12766,0,630554,3938,36,3974,0,0,684,0,684,11057,0,42515,53572,2333678,0,431371,0,0,431371,93014,0,93014,-369300,-24001,-50478,-443779,2414284,32600,93722,23923,0,117645,150245,0,0,84860,84860,0,0,0,15265,0,0,0,46108,0,0,61373,9856,2062,14057,0,7130,41991,4492,79588,338073,496,12998,0,0,39848,391415,323679,6821,50198,28976,409674,0,513904,0,4105343,11200,1924,37975,2285,0,53384,327663,9989,23603,0,361255,0,0,4414,21413,95581,536047,606719,0,137915,137915,5509,-62,74747,51613,876441,289019,367521,0,0,21000,9769,1537,151684,0,840530,223470,167358,0,0,0,43216,0,261371,0,695415,0,0,0,0,0,0,82140,89392,0,0,35479,6826,213837,367860,15678,11528,,0,-30,39428,35312,469776,0,0,0,0,422799,524,64530,487853,0,0,0,0,4119899
Mulgrave,Town,2018-19,296092,882162,0,0,882162,21108,320,21428,0,0,0,0,0,5749,15905,0,21654,1221336,385282,0,0,0,385282,2436,0,2436,-139425,-9145,-30406,-178976,1430078,0,1064,0,13680,14744,14744,0,0,0,0,0,0,0,661,0,0,0,69809,0,0,70470,318,200,32727,0,34327,18071,4380,90023,127508,758,0,0,0,1000,129266,58816,0,153312,0,212128,0,503934,0,2450643,11250,0,26626,1647,7665,47188,218207,126855,15822,0,360884,-767,0,4390,27593,120389,559677,157376,0,73500,73500,984,0,19761,3807,255428,254637,78168,0,0,0,4244,0,76635,0,413684,154431,51472,0,16968,16968,6411,0,99549,0,328831,0,0,0,0,0,0,0,0,0,0,0,0,0,131089,5736,17951,,0,0,14722,80505,250003,0,0,0,0,333217,37043,71816,442076,0,0,0,0,2249699
New Glasgow,Town,2018-19,8021750,6017400,0,0,6017400,43023,0,43023,0,0,0,0,0,58479,0,0,58479,14140652,563550,1130193,0,0,1693743,268866,0,268866,-1759308,-118302,-220533,-2098143,14005118,57642,10327,105490,0,115817,173459,0,0,862100,862100,71227,0,0,0,0,0,0,0,0,0,71227,305,138687,151252,0,63000,231435,247925,832604,1055434,1024,109398,0,3236,0,1169092,815700,1772500,500000,0,3088200,0,3606100,0,23807900,30351,7833,114760,17386,1419,171749,891700,109195,119710,207700,1328305,25000,64382,17525,271400,614318,2492679,5099700,0,1098000,1098000,14442,0,273500,38835,6524477,1706705,1237416,0,0,37000,97796,0,1109700,0,4188617,1084188,576337,0,0,0,45080,0,156500,0,1862105,5000,0,0,0,0,5000,195101,0,0,0,0,132815,327916,1062541,94003,79890,,58687,0,268300,98982,1662403,0,0,0,0,2307300,99304,525100,2931704,0,0,0,0,19994901
Oxford,Town,2018-19,753515,992911,0,0,992911,10507,182,10689,0,0,2605,0,2605,3762,0,0,3762,1763482,0,176229,0,0,176229,33550,0,33550,-223952,-15176,-19100,-258228,1715033,24326,22669,0,0,22669,46995,0,0,58204,58204,510,0,0,0,0,0,0,53041,0,0,53551,80,913,21815,16890,2732,35416,43411,121257,178171,0,12671,0,0,1000,191842,0,4300,192563,58901,255764,0,408575,0,2851221,9011,2994,23830,4764,0,40599,248549,0,18958,0,267507,-17886,2539,10850,23181,21213,348003,503604,0,101680,101680,13862,0,53410,46336,718892,327128,0,0,0,0,21442,0,140472,7632,496674,82612,117490,0,0,0,0,0,71311,0,271413,34075,867,0,6879,0,41821,15643,37620,0,0,0,0,53263,162402,10500,7680,,3380,0,31528,70550,286040,0,0,0,0,323768,0,63667,387435,0,0,0,0,2603541
Pictou,Town,2018-19,2169166,973531,0,0,973531,21894,0,21894,0,0,151,0,151,18152,0,0,18152,3182894,436636,548026,0,0,984662,0,42809,42809,-495960,-39216,-90719,-625895,3584470,141585,197797,8167,0,205964,347549,0,0,16829,16829,0,0,0,0,0,0,0,267219,0,0,267219,422,11687,201794,0,35053,150478,434004,833438,545521,924,16730,0,0,0,563175,229535,931405,931405,19163,2111508,0,739307,0,8463495,19921,639,46459,10807,0,77826,488990,140460,43309,0,672759,71636,0,25897,38432,5000,891550,984483,0,193948,193948,11438,0,41372,85832,1317073,455952,413229,0,0,20000,1294,0,193766,0,1084241,347209,230683,0,0,0,55366,0,524061,0,1157319,42208,0,0,0,0,42208,17542,0,0,0,0,94021,111563,371866,78903,32416,,0,0,86040,138523,707748,0,0,0,0,593988,78205,203206,875399,0,0,0,0,6187101
Port Hawkesbury,Town,2018-19,2564023,2121348,0,0,2121348,29243,0,29243,0,0,0,0,0,27137,0,0,27137,4741751,0,0,0,0,0,106874,0,106874,-630252,-39137,-50000,-719389,4129236,97131,610543,45753,0,656296,753427,0,0,273092,273092,8066,0,0,162992,0,0,22881,658724,0,0,852663,577,10032,164920,0,27792,73423,120032,396776,298730,9071,22230,0,4503,0,334534,0,2009944,1870949,80050,3960943,0,1092270,0,11792941,28130,12083,56446,7775,0,104434,612988,197330,43847,66580,920745,19160,845,0,60603,222807,1328594,1020025,0,132829,132829,0,0,1715,2158,1156727,170813,674921,31826,0,0,4495,0,380740,4361,1267156,340121,185284,0,37482,37482,40226,0,281740,115,884968,0,0,0,0,0,0,68599,25925,0,0,0,0,94524,1481720,0,21147,,102640,0,575453,204360,2385320,209,-12966,0,-12757,858654,28983,250329,1137966,0,0,0,0,8242498
Shelburne,Town,2018-19,1464585,729613,0,0,729613,23776,24,23800,0,0,0,0,0,13444,0,0,13444,2231442,251680,308551,0,0,560231,55889,0,55889,-276220,-21539,-59839,-357598,2489964,10325,5171,424,0,5595,15920,0,0,55926,55926,15394,0,0,0,0,0,0,10935,0,230564,256893,3540,16783,170299,0,26717,54224,92786,364349,359645,0,17973,0,0,40,377658,135440,1815445,82733,100399,2134017,0,513654,0,6208381,20394,6829,50524,6335,0,84082,549798,61925,26746,0,638469,34103,4203,31209,2487,103103,897656,691088,0,112413,112413,1676,0,71205,41827,918209,132861,309635,0,117918,0,21771,0,203148,0,785333,241394,223994,0,0,0,0,0,179914,0,645302,0,0,0,2837,12219,15056,45666,186992,305,0,5272,140518,378753,169546,120769,11652,,9541,33,223752,0,535293,0,0,0,0,267326,40011,153016,460353,0,0,0,0,4635955
Stellarton,Town,2018-19,3263076,3182399,0,0,3182399,13361,0,13361,0,0,92,0,92,23916,0,4604,28520,6487448,0,0,0,0,0,74152,0,74152,-800172,-52906,-48372,-901450,5660150,32806,73582,42900,0,116482,149288,0,0,106253,106253,0,26242,0,0,0,0,10368,225718,0,0,262328,1485,16250,0,0,70282,34485,21313,143815,500684,16589,39008,0,0,0,556281,344556,711669,496415,0,1552640,0,1514876,0,9945631,20343,617,58992,2232,24539,106723,608900,10000,56536,0,675436,0,1232,0,21813,147919,953123,1676299,0,150021,150021,0,0,68588,6484,1901392,1132084,476333,0,0,20000,20890,0,918712,3836,2571855,443544,268472,0,0,0,9495,0,158248,4144,883903,0,0,0,0,0,0,74314,0,136726,0,7669,4602,223311,509296,23884,39928,,0,0,218342,353301,1144751,0,0,0,0,764210,238075,427959,1430244,0,0,0,0,9108579
Stewiacke,Town,2018-19,1292512,351806,0,249,352055,21768,128,21896,0,0,3187,0,3187,6354,0,0,6354,1676004,95373,157552,89061,-83725,258261,64143,0,64143,-269904,-17459,-24556,-311919,1686489,3069,2375,0,0,2375,5444,0,0,0,0,50129,0,0,0,0,0,0,0,0,0,50129,5055,805,9248,0,11717,20785,43935,91545,202349,0,9032,0,0,0,211381,84140,0,47642,0,131782,0,528984,0,2705754,11642,1240,48218,9271,12015,82386,385650,4250,21331,0,411231,0,0,6069,7517,27218,534421,159332,161065,3954,165019,0,0,0,19839,344190,185658,125168,0,0,0,24542,16433,217912,0,569714,85260,84484,0,0,0,0,0,91050,0,260794,0,0,0,0,0,0,9573,0,0,0,0,4300,13873,161493,50758,9326,,0,0,41000,3112,265689,0,0,0,0,258471,33432,56518,348421,0,0,0,0,2337103
Trenton,Town,2018-19,1189343,214559,0,0,214559,12606,0,12606,0,0,0,0,0,8865,0,0,8865,1425373,112847,397242,0,0,510089,24968,0,24968,-338147,-26571,-45012,-409730,1550700,2798,0,0,533,533,3331,0,0,149371,149371,6905,0,0,0,0,0,0,226302,0,0,233207,2026,1017,4600,0,0,61858,18955,88456,420922,1055842,28129,0,0,0,1504893,157774,10807,36672,45191,250444,0,370823,0,4151225,16168,1288,34632,3268,7897,63253,493814,13390,31958,1953,541115,53159,0,12045,72268,57630,799470,582140,0,98641,98641,7527,1661,15643,2763,708375,199357,363222,0,0,9200,30983,4977,284502,0,892241,185931,158645,0,0,0,40003,4545,130196,0,519320,0,0,0,0,0,0,186200,0,0,0,0,18741,204941,773465,0,23238,,12505,435,171532,0,981561,0,0,0,0,334195,0,35192,369387,0,0,0,0,4475295
Truro,Town,2018-19,11229852,9069021,0,194,9069215,18273,250,18523,5704,0,1087,0,6791,76890,0,0,76890,20401271,342748,871760,0,0,1214508,460336,0,460336,-2557129,-168408,-82239,-2807776,19268339,704675,52818,59808,0,112626,817301,0,0,401865,401865,172471,120274,0,8981,0,0,121256,2428867,0,0,2851849,8011,188053,1368,0,110531,219765,145977,673705,1346638,17550,105507,0,15860,0,1485555,674551,528686,616105,0,1819342,0,3708662,0,31026618,46282,4404,153282,36104,0,240072,2631789,183534,154140,0,2969463,57587,41369,11849,625202,419018,4364560,5664066,0,1879228,1879228,21898,0,308543,95363,7969098,1274029,2900154,0,0,0,45334,0,2132756,0,6352273,1751313,506589,0,0,0,0,0,307697,0,2565599,0,81678,0,0,0,81678,785152,111163,0,0,98597,146404,1141316,4737334,168654,81713,,468440,0,954500,0,6410641,0,0,0,0,2245436,52445,499509,2797390,0,0,0,0,31682555
Westville,Town,2018-19,2684984,400155,0,0,400155,35560,158,35718,0,0,200,0,200,19909,0,0,19909,3140966,0,260291,0,0,260291,53280,0,53280,-432696,-37209,-63201,-533106,2921431,0,2844,5927,0,8771,8771,0,0,64992,64992,0,0,0,0,0,0,3535,22315,0,0,25850,2677,7149,104087,0,16043,42337,37084,209377,684391,841,19412,0,0,0,704644,234259,7045,109217,0,350521,0,774579,0,5060165,13200,594,41260,6363,1599,63016,290845,18385,42928,0,352158,7081,9354,0,45834,296360,773803,1097822,0,105567,105567,5417,0,50750,16537,1276093,201707,527495,0,0,7400,18946,0,173183,0,928731,199205,219800,0,0,0,23744,0,121443,0,564192,0,0,0,0,30426,30426,61771,0,0,0,0,1552,63323,174570,2651,32087,,0,0,18060,10547,237915,0,0,0,0,918783,6414,67936,993133,0,0,0,0,4867616
Windsor,Town,2018-19,3196143,2014718,0,0,2014718,10536,0,10536,0,0,2251,0,2251,20313,0,-25182,-4869,5218779,27417,897013,40145,-40145,924430,134272,0,134272,-672756,-44120,-40164,-757040,5520441,67343,41810,29644,0,71454,138797,0,0,69351,69351,720,0,0,0,0,0,0,403817,0,0,404537,9125,24387,51085,0,123234,59867,168016,435714,430403,3881,32360,0,0,0,466644,257081,4840,18350,107526,387797,0,1576109,0,8999390,29217,5196,70824,5978,13932,125147,592093,67612,42761,0,702466,-6102,17738,0,111450,415116,1365815,1018228,0,247544,247544,0,0,36212,140006,1441990,450355,632097,0,0,0,103561,0,486078,0,1672091,496134,341120,0,0,0,122568,0,508137,0,1467959,56686,0,0,0,0,56686,117270,79616,0,0,1021,53652,251559,822431,21598,23779,,0,0,75342,2806,945956,0,0,0,0,969417,61824,251985,1283226,0,0,0,0,8485282
